TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
1.6333,0,183.9122,yes,unknown,unknown,unknown,Unknown,-5.2293,-5.1629,6.9078,0.0018,0.0045,0.4264,0.0240,0.0045,0.1931,0.1933,-0.0125,0.0794,0.0000,0.0112,0.0241,0.0008,0.0033,0.0069,0.0043,0.0161,0.0499,0.0074,0.0017,0.0127,0.0315,0.0024,96.6671,0.0156,0.0169,0.0137,0.0011,0.0007,0.4422,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
1.7000,0,183.8234,yes,unknown,unknown,unknown,Unknown,-5.6404,-4.5114,6.8260,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1934,-0.0108,0.0794,0.0000,0.0109,0.0219,0.0008,0.0035,0.0069,0.0040,0.0144,0.0543,0.0087,0.0019,0.0127,0.0339,0.0026,97.0623,0.0184,0.0207,0.0138,0.0012,0.0007,0.4398,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
1.7667,0,183.0875,yes,unknown,unknown,unknown,Unknown,-4.7130,-5.1681,6.5472,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1934,-0.0120,0.0794,0.0000,0.0102,0.0211,0.0009,0.0036,0.0066,0.0038,0.0159,0.0567,0.0082,0.0022,0.0127,0.0368,0.0028,96.6637,0.0240,0.0175,0.0137,0.0013,0.0007,0.4294,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
1.8333,0,185.5412,yes,unknown,unknown,unknown,Unknown,-5.1112,-5.2188,6.2860,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1934,-0.0116,0.0794,0.0000,0.0101,0.0213,0.0009,0.0044,0.0067,0.0037,0.0147,0.0515,0.0061,0.0022,0.0124,0.0347,0.0041,96.6308,0.0217,0.0168,0.0140,0.0011,0.0006,0.4026,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
1.9000,0,185.3334,yes,unknown,unknown,unknown,Unknown,-4.6274,-4.6833,6.1430,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1933,-0.0110,0.0793,0.0000,0.0098,0.0189,0.0010,0.0045,0.0066,0.0039,0.0129,0.0444,0.0055,0.0021,0.0122,0.0321,0.0062,96.9626,0.0251,0.0167,0.0150,0.0011,0.0006,0.3941,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
1.9667,0,182.7207,yes,unknown,unknown,unknown,Unknown,-4.3949,-5.3534,6.8161,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1934,-0.0114,0.0793,0.0000,0.0089,0.0207,0.0011,0.0040,0.0060,0.0037,0.0125,0.0408,0.0047,0.0018,0.0119,0.0331,0.0034,96.5421,0.0217,0.0123,0.0149,0.0011,0.0005,0.3835,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
2.0333,0,183.9127,yes,unknown,unknown,unknown,Unknown,-4.7156,-3.8919,6.5695,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1934,-0.0120,0.0793,0.0000,0.0097,0.0173,0.0012,0.0042,0.0061,0.0035,0.0120,0.0408,0.0046,0.0019,0.0115,0.0374,0.0008,97.3957,0.0254,0.0111,0.0166,0.0010,0.0005,0.3721,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
2.1000,0,183.7427,yes,unknown,unknown,unknown,Unknown,-4.6576,-5.0468,5.9545,0.0018,0.0045,0.4263,0.0240,0.0045,0.1930,0.1936,-0.0152,0.0793,0.0000,0.0105,0.0160,0.0010,0.0040,0.0061,0.0035,0.0151,0.0434,0.0060,0.0022,0.0117,0.0460,0.0002,96.7411,0.0270,0.0068,0.0187,0.0011,0.0005,0.3621,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
2.1333,0,183.0774,yes,unknown,unknown,unknown,Unknown,-4.9006,-5.2736,6.7063,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1938,-0.0169,0.0793,0.0000,0.0122,0.0137,0.0012,0.0042,0.0063,0.0034,0.0160,0.0409,0.0067,0.0023,0.0121,0.0543,0.0000,96.5950,0.0252,0.0057,0.0202,0.0011,0.0005,0.3625,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
2.2000,0,183.7426,yes,unknown,unknown,unknown,Unknown,-4.7910,-5.6409,7.1945,0.0018,0.0045,0.4263,0.0240,0.0045,0.1930,0.1941,-0.0196,0.0793,0.0000,0.0160,0.0150,0.0012,0.0043,0.0058,0.0033,0.0174,0.0363,0.0087,0.0029,0.0114,0.0684,0.0000,96.3449,0.0270,0.0040,0.0197,0.0012,0.0005,0.3458,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
2.2667,0,185.5786,yes,unknown,unknown,unknown,Unknown,-5.8058,-6.1183,6.0969,0.0018,0.0045,0.4263,0.0240,0.0045,0.1930,0.1940,-0.0226,0.0793,0.0000,0.0167,0.0133,0.0014,0.0043,0.0057,0.0037,0.0227,0.0366,0.0114,0.0033,0.0111,0.0641,0.0003,95.9934,0.0321,0.0041,0.0220,0.0012,0.0005,0.3572,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
2.3333,0,184.9389,yes,unknown,unknown,unknown,Unknown,-4.9824,-5.4906,6.5232,0.0018,0.0045,0.4263,0.0240,0.0045,0.1930,0.1937,-0.0230,0.0793,0.0000,0.0172,0.0120,0.0015,0.0045,0.0061,0.0044,0.0225,0.0443,0.0107,0.0028,0.0110,0.0496,0.0026,96.4493,0.0258,0.0043,0.0233,0.0010,0.0005,0.3735,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
2.4000,0,185.6831,yes,unknown,unknown,unknown,Unknown,-4.2282,-4.0278,6.6791,0.0018,0.0045,0.4263,0.0240,0.0045,0.1930,0.1936,-0.0227,0.0793,0.0000,0.0155,0.0125,0.0015,0.0043,0.0058,0.0048,0.0238,0.0450,0.0095,0.0022,0.0108,0.0451,0.0027,97.3259,0.0267,0.0038,0.0231,0.0010,0.0005,0.3835,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
2.4667,0,188.9238,yes,unknown,unknown,unknown,Unknown,-5.4542,-4.4447,5.9620,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1936,-0.0254,0.0793,0.0000,0.0186,0.0126,0.0016,0.0051,0.0058,0.0055,0.0281,0.0487,0.0070,0.0024,0.0107,0.0465,0.0060,97.1001,0.0270,0.0032,0.0245,0.0008,0.0005,0.3960,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
2.5333,0,186.0752,yes,unknown,unknown,unknown,Unknown,-6.2638,-5.1869,5.9981,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1935,-0.0254,0.0793,0.0000,0.0191,0.0121,0.0017,0.0057,0.0059,0.0056,0.0283,0.0475,0.0059,0.0025,0.0105,0.0423,0.0201,96.6516,0.0247,0.0040,0.0243,0.0007,0.0005,0.3957,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
2.6000,0,186.7069,yes,unknown,unknown,unknown,Unknown,-4.9363,-5.3153,6.1641,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1933,-0.0251,0.0793,0.0000,0.0176,0.0137,0.0015,0.0053,0.0058,0.0062,0.0283,0.0495,0.0061,0.0026,0.0108,0.0315,0.0241,96.5675,0.0176,0.0042,0.0208,0.0008,0.0005,0.3647,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
2.6333,0,187.5939,yes,unknown,unknown,unknown,Unknown,-4.0113,-3.9198,6.0173,0.0018,0.0045,0.4264,0.0240,0.0045,0.1930,0.1933,-0.0257,0.0794,0.0000,0.0175,0.0135,0.0017,0.0054,0.0055,0.0064,0.0298,0.0511,0.0061,0.0027,0.0110,0.0285,0.0334,97.3815,0.0131,0.0040,0.0204,0.0009,0.0005,0.3636,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
2.7000,0,188.1252,yes,unknown,unknown,unknown,Unknown,-4.9635,-3.8597,5.4340,0.0018,0.0045,0.4263,0.0240,0.0045,0.1930,0.1931,-0.0270,0.0794,0.0000,0.0150,0.0176,0.0013,0.0053,0.0060,0.0070,0.0339,0.0549,0.0078,0.0031,0.0116,0.0229,0.0718,97.4120,0.0127,0.0046,0.0185,0.0007,0.0006,0.3905,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
2.7667,0,187.9085,yes,unknown,unknown,unknown,Unknown,-6.6058,-5.4596,5.3173,0.0018,0.0045,0.4263,0.0240,0.0045,0.1930,0.1931,-0.0259,0.0794,0.0000,0.0120,0.0181,0.0013,0.0051,0.0061,0.0076,0.0337,0.0512,0.0079,0.0028,0.0115,0.0199,0.1125,96.4705,0.0113,0.0058,0.0181,0.0007,0.0006,0.4051,0.0018,0.0018,0.0018,0.0018,0.0018,0.0045,0.0000,0.0018,2.2978,2.2978,0.0018,0.0284,
